creative_id,bucket,exact_lander,landing_url,ad_id,recipe,score,days,capture,ready,congruence,title,first_line,cta,share_url,ad_image,image_width,image_height,page_hook,report_anchor,ad_body
"C001","GLP","10-reasons-glp","https://mengotomars.com/pages/10-reasons-glp","94903611","8","91","12","failed","ad_only_or_capture_gap","capture_gap","What GLP-1 Does to Your T Levels","The weight's coming off. But so is your testosterone. GLP-1 meds are incredible for dropping pounds.","Shop now","https://app.gethookd.ai/share/ad/94903611?signature=019544b1009eb33802b00095993995fd168a33b6bd4cf2a1692c4fdcd779c7f1","mars-men-static-canonical-recipes-share/assets/remote/098bb8ed87aa-media-00e7d202abe0.jpg","1080","1920","10 Reasons Why This Natural Testosterone Support Supplement Crushes TRT – Mars Men","mars-men-static-canonical-recipes-share/index.html#ad-94903611","The weight's coming off. But so is your testosterone. GLP-1 meds are incredible for dropping pounds.

Nobody's arguing that. But here's what your prescribing doctor probably didn't mention.

Rapid weight loss triggers a massive cortisol spike.

Cortisol tanks testosterone production at the source. Your body starts burning muscle for fuel instead of protecting it. Your energy craters. Your drive disappears. Your strength fades.

You're thinner — but weaker, foggier, and running on fumes. That's not a win.

Mars Men was built to protect what GLP-1s are quietly destroying.

Tongkat Ali blocks the cortisol spike that crashes your T during rapid weight loss.

Boron lowers SHBG so the testosterone you still have isn't locked up and useless. 8 clinically-dosed ingredients attacking the problem from every angle.

This isn't theory. 91% of men in a 1,000-person survey reported higher energy within 90 days. 87% reported increased strength. Results backed by bloodwork, not promises.

Right now it's 50% off with a full 90-day money-back guarantee.

Read the 10 reasons men on GLP-1s are adding this to their daily stack."
"C001","GLP","10-reasons-glp","https://mengotomars.com/pages/10-reasons-glp","94284666","25","91","12","failed","ad_only_or_capture_gap","capture_gap","What GLP-1 Does to Your T Levels","The weight's coming off. But so is your testosterone. GLP-1 meds are incredible for dropping pounds.","Shop now","https://app.gethookd.ai/share/ad/94284666?signature=45f3dde9986db14b6b11ffd0ce78a1345a2c4a3bfa0af6925e50687ac00b8454","mars-men-static-canonical-recipes-share/assets/remote/bd4fdfae094e-media-7f504f883d31.jpg","1080","1920","10 Reasons Why This Natural Testosterone Support Supplement Crushes TRT – Mars Men","mars-men-static-canonical-recipes-share/index.html#ad-94284666","The weight's coming off. But so is your testosterone. GLP-1 meds are incredible for dropping pounds.

Nobody's arguing that. But here's what your prescribing doctor probably didn't mention.

Rapid weight loss triggers a massive cortisol spike.

Cortisol tanks testosterone production at the source. Your body starts burning muscle for fuel instead of protecting it. Your energy craters. Your drive disappears. Your strength fades.

You're thinner — but weaker, foggier, and running on fumes. That's not a win.

Mars Men was built to protect what GLP-1s are quietly destroying.

Tongkat Ali blocks the cortisol spike that crashes your T during rapid weight loss.

Boron lowers SHBG so the testosterone you still have isn't locked up and useless. 8 clinically-dosed ingredients attacking the problem from every angle.

This isn't theory. 91% of men in a 1,000-person survey reported higher energy within 90 days. 87% reported increased strength. Results backed by bloodwork, not promises.

Right now it's 50% off with a full 90-day money-back guarantee.

Read the 10 reasons men on GLP-1s are adding this to their daily stack."
"C001","GLP","10-reasons-glp","https://mengotomars.com/pages/10-reasons-glp","94284377","37","91","12","failed","ad_only_or_capture_gap","capture_gap","What GLP-1 Does to Your T Levels","The weight's coming off. But so is your testosterone. GLP-1 meds are incredible for dropping pounds.","Shop now","https://app.gethookd.ai/share/ad/94284377?signature=e60d92c8195789c15ca93442b257ceeeb521a83e037e26f7efa9186a6c4c5350","mars-men-static-canonical-recipes-share/assets/remote/e04f40d9dbf9-media-fe17bc5bb156.jpg","1080","1920","10 Reasons Why This Natural Testosterone Support Supplement Crushes TRT – Mars Men","mars-men-static-canonical-recipes-share/index.html#ad-94284377","The weight's coming off. But so is your testosterone. GLP-1 meds are incredible for dropping pounds.

Nobody's arguing that. But here's what your prescribing doctor probably didn't mention.

Rapid weight loss triggers a massive cortisol spike.

Cortisol tanks testosterone production at the source. Your body starts burning muscle for fuel instead of protecting it. Your energy craters. Your drive disappears. Your strength fades.

You're thinner — but weaker, foggier, and running on fumes. That's not a win.

Mars Men was built to protect what GLP-1s are quietly destroying.

Tongkat Ali blocks the cortisol spike that crashes your T during rapid weight loss.

Boron lowers SHBG so the testosterone you still have isn't locked up and useless. 8 clinically-dosed ingredients attacking the problem from every angle.

This isn't theory. 91% of men in a 1,000-person survey reported higher energy within 90 days. 87% reported increased strength. Results backed by bloodwork, not promises.

Right now it's 50% off with a full 90-day money-back guarantee.

Read the 10 reasons men on GLP-1s are adding this to their daily stack."
"C001","GLP","10-reasons-glp","https://mengotomars.com/pages/10-reasons-glp","94284350","40","91","12","failed","ad_only_or_capture_gap","capture_gap","What GLP-1 Does to Your T Levels","The weight's coming off. But so is your testosterone. GLP-1 meds are incredible for dropping pounds.","Shop now","https://app.gethookd.ai/share/ad/94284350?signature=411ea13dd584209f4e5e536f535b1b1a7940c98870aedc12a043d8effb14183d","mars-men-static-canonical-recipes-share/assets/remote/e62befd8e890-media-698e28d98210.jpg","1080","1920","10 Reasons Why This Natural Testosterone Support Supplement Crushes TRT – Mars Men","mars-men-static-canonical-recipes-share/index.html#ad-94284350","The weight's coming off. But so is your testosterone. GLP-1 meds are incredible for dropping pounds.

Nobody's arguing that. But here's what your prescribing doctor probably didn't mention.

Rapid weight loss triggers a massive cortisol spike.

Cortisol tanks testosterone production at the source. Your body starts burning muscle for fuel instead of protecting it. Your energy craters. Your drive disappears. Your strength fades.

You're thinner — but weaker, foggier, and running on fumes. That's not a win.

Mars Men was built to protect what GLP-1s are quietly destroying.

Tongkat Ali blocks the cortisol spike that crashes your T during rapid weight loss.

Boron lowers SHBG so the testosterone you still have isn't locked up and useless. 8 clinically-dosed ingredients attacking the problem from every angle.

This isn't theory. 91% of men in a 1,000-person survey reported higher energy within 90 days. 87% reported increased strength. Results backed by bloodwork, not promises.

Right now it's 50% off with a full 90-day money-back guarantee.

Read the 10 reasons men on GLP-1s are adding this to their daily stack."
"C001","GLP","10-reasons-glp","https://mengotomars.com/pages/10-reasons-glp","94284582","59","91","11","failed","ad_only_or_capture_gap","capture_gap","What GLP-1 Does to Your T Levels","The weight's coming off. But so is your testosterone. GLP-1 meds are incredible for dropping pounds.","Shop now","https://app.gethookd.ai/share/ad/94284582?signature=4a5fb4fe90373c09cc133ab0dbc536d3473c178bffb5fd86461232f5d847e435","mars-men-static-canonical-recipes-share/assets/remote/bfa09b48fa2e-media-fbc6bdb2c2b6.jpg","1080","1920","10 Reasons Why This Natural Testosterone Support Supplement Crushes TRT – Mars Men","mars-men-static-canonical-recipes-share/index.html#ad-94284582","The weight's coming off. But so is your testosterone. GLP-1 meds are incredible for dropping pounds.

Nobody's arguing that. But here's what your prescribing doctor probably didn't mention.

Rapid weight loss triggers a massive cortisol spike.

Cortisol tanks testosterone production at the source. Your body starts burning muscle for fuel instead of protecting it. Your energy craters. Your drive disappears. Your strength fades.

You're thinner — but weaker, foggier, and running on fumes. That's not a win.

Mars Men was built to protect what GLP-1s are quietly destroying.

Tongkat Ali blocks the cortisol spike that crashes your T during rapid weight loss.

Boron lowers SHBG so the testosterone you still have isn't locked up and useless. 8 clinically-dosed ingredients attacking the problem from every angle.

This isn't theory. 91% of men in a 1,000-person survey reported higher energy within 90 days. 87% reported increased strength. Results backed by bloodwork, not promises.

Right now it's 50% off with a full 90-day money-back guarantee.

Read the 10 reasons men on GLP-1s are adding this to their daily stack."
"C001","GLP","10-reasons-glp","https://mengotomars.com/pages/10-reasons-glp","94284507","62","91","11","failed","ad_only_or_capture_gap","capture_gap","What GLP-1 Does to Your T Levels","The weight's coming off. But so is your testosterone. GLP-1 meds are incredible for dropping pounds.","Shop now","https://app.gethookd.ai/share/ad/94284507?signature=8cf7834bd425019093f75441959c7e1dcd0d59fb28f1bc76da8f7dc104bf1ba3","mars-men-static-canonical-recipes-share/assets/remote/bfa09b48fa2e-media-fbc6bdb2c2b6.jpg","1080","1920","10 Reasons Why This Natural Testosterone Support Supplement Crushes TRT – Mars Men","mars-men-static-canonical-recipes-share/index.html#ad-94284507","The weight's coming off. But so is your testosterone. GLP-1 meds are incredible for dropping pounds.

Nobody's arguing that. But here's what your prescribing doctor probably didn't mention.

Rapid weight loss triggers a massive cortisol spike.

Cortisol tanks testosterone production at the source. Your body starts burning muscle for fuel instead of protecting it. Your energy craters. Your drive disappears. Your strength fades.

You're thinner — but weaker, foggier, and running on fumes. That's not a win.

Mars Men was built to protect what GLP-1s are quietly destroying.

Tongkat Ali blocks the cortisol spike that crashes your T during rapid weight loss.

Boron lowers SHBG so the testosterone you still have isn't locked up and useless. 8 clinically-dosed ingredients attacking the problem from every angle.

This isn't theory. 91% of men in a 1,000-person survey reported higher energy within 90 days. 87% reported increased strength. Results backed by bloodwork, not promises.

Right now it's 50% off with a full 90-day money-back guarantee.

Read the 10 reasons men on GLP-1s are adding this to their daily stack."
"C001","GLP","10-reasons-glp","https://mengotomars.com/pages/10-reasons-glp","94284291","77","91","11","failed","ad_only_or_capture_gap","capture_gap","What GLP-1 Does to Your T Levels","The weight's coming off. But so is your testosterone. GLP-1 meds are incredible for dropping pounds.","Shop now","https://app.gethookd.ai/share/ad/94284291?signature=45f5483a041a8b62fdbc61caca4c020dc35dcc0f3ce70b16e51361635160f714","mars-men-static-canonical-recipes-share/assets/remote/bfa09b48fa2e-media-fbc6bdb2c2b6.jpg","1080","1920","10 Reasons Why This Natural Testosterone Support Supplement Crushes TRT – Mars Men","mars-men-static-canonical-recipes-share/index.html#ad-94284291","The weight's coming off. But so is your testosterone. GLP-1 meds are incredible for dropping pounds.

Nobody's arguing that. But here's what your prescribing doctor probably didn't mention.

Rapid weight loss triggers a massive cortisol spike.

Cortisol tanks testosterone production at the source. Your body starts burning muscle for fuel instead of protecting it. Your energy craters. Your drive disappears. Your strength fades.

You're thinner — but weaker, foggier, and running on fumes. That's not a win.

Mars Men was built to protect what GLP-1s are quietly destroying.

Tongkat Ali blocks the cortisol spike that crashes your T during rapid weight loss.

Boron lowers SHBG so the testosterone you still have isn't locked up and useless. 8 clinically-dosed ingredients attacking the problem from every angle.

This isn't theory. 91% of men in a 1,000-person survey reported higher energy within 90 days. 87% reported increased strength. Results backed by bloodwork, not promises.

Right now it's 50% off with a full 90-day money-back guarantee.

Read the 10 reasons men on GLP-1s are adding this to their daily stack."
"C001","GLP","10-reasons-glp","https://mengotomars.com/pages/10-reasons-glp","95129975","106","91","7","failed","ad_only_or_capture_gap","capture_gap","What GLP-1 Does to Your T Levels","The weight's coming off. But so is your testosterone. GLP-1 meds are incredible for dropping pounds.","Shop now","https://app.gethookd.ai/share/ad/95129975?signature=c7173a4b171bbdbb4f133618bbfbf2d2b6274ab9ef75701779c0304af9d1103a","mars-men-static-canonical-recipes-share/assets/remote/28c66575491e-media-162fd2358d2f.jpg","1080","1920","10 Reasons Why This Natural Testosterone Support Supplement Crushes TRT – Mars Men","mars-men-static-canonical-recipes-share/index.html#ad-95129975","The weight's coming off. But so is your testosterone. GLP-1 meds are incredible for dropping pounds.

Nobody's arguing that. But here's what your prescribing doctor probably didn't mention.

Rapid weight loss triggers a massive cortisol spike.

Cortisol tanks testosterone production at the source. Your body starts burning muscle for fuel instead of protecting it. Your energy craters. Your drive disappears. Your strength fades.

You're thinner — but weaker, foggier, and running on fumes. That's not a win.

Mars Men was built to protect what GLP-1s are quietly destroying.

Tongkat Ali blocks the cortisol spike that crashes your T during rapid weight loss.

Boron lowers SHBG so the testosterone you still have isn't locked up and useless. 8 clinically-dosed ingredients attacking the problem from every angle.

This isn't theory. 91% of men in a 1,000-person survey reported higher energy within 90 days. 87% reported increased strength. Results backed by bloodwork, not promises.

Right now it's 50% off with a full 90-day money-back guarantee.

Read the 10 reasons men on GLP-1s are adding this to their daily stack."
"C001","GLP","10-reasons-glp","https://mengotomars.com/pages/10-reasons-glp","95129974","117","81","7","failed","ad_only_or_capture_gap","capture_gap","What GLP-1 Does to Your T Levels","The weight's coming off. But so is your testosterone. GLP-1 meds are incredible for dropping pounds.","Shop now","https://app.gethookd.ai/share/ad/95129974?signature=8fa9f1fffd9d90808b937255a34f989035b4928b4cc70d5a529c6719532fff6a","mars-men-static-canonical-recipes-share/assets/remote/a4b1e1b70dee-media-be7460ff49c1.jpg","1080","1920","10 Reasons Why This Natural Testosterone Support Supplement Crushes TRT – Mars Men","mars-men-static-canonical-recipes-share/index.html#ad-95129974","The weight's coming off. But so is your testosterone. GLP-1 meds are incredible for dropping pounds.

Nobody's arguing that. But here's what your prescribing doctor probably didn't mention.

Rapid weight loss triggers a massive cortisol spike.

Cortisol tanks testosterone production at the source. Your body starts burning muscle for fuel instead of protecting it. Your energy craters. Your drive disappears. Your strength fades.

You're thinner — but weaker, foggier, and running on fumes. That's not a win.

Mars Men was built to protect what GLP-1s are quietly destroying.

Tongkat Ali blocks the cortisol spike that crashes your T during rapid weight loss.

Boron lowers SHBG so the testosterone you still have isn't locked up and useless. 8 clinically-dosed ingredients attacking the problem from every angle.

This isn't theory. 91% of men in a 1,000-person survey reported higher energy within 90 days. 87% reported increased strength. Results backed by bloodwork, not promises.

Right now it's 50% off with a full 90-day money-back guarantee.

Read the 10 reasons men on GLP-1s are adding this to their daily stack."
"C002","GLP","10-reasons-glp","https://mengotomars.com/pages/10-reasons-glp","94903470","15","91","12","failed","ad_only_or_capture_gap","capture_gap","What GLP-1 Does to Your T Levels","The weight's coming off. But so is your testosterone. GLP-1 meds are incredible for dropping pounds.","Shop now","https://app.gethookd.ai/share/ad/94903470?signature=b22c6e387e5a809311d4189a3c9cb8e028fdc9aefeaa39b43b40cf2f705e350b","mars-men-static-canonical-recipes-share/assets/remote/76b0be9a7bca-media-c88282798474.jpg","1080","1350","10 Reasons Why This Natural Testosterone Support Supplement Crushes TRT – Mars Men","mars-men-static-canonical-recipes-share/index.html#ad-94903470","The weight's coming off. But so is your testosterone. GLP-1 meds are incredible for dropping pounds.

Nobody's arguing that. But here's what your prescribing doctor probably didn't mention.

Rapid weight loss triggers a massive cortisol spike.

Cortisol tanks testosterone production at the source. Your body starts burning muscle for fuel instead of protecting it. Your energy craters. Your drive disappears. Your strength fades.

You're thinner — but weaker, foggier, and running on fumes. That's not a win.

Mars Men was built to protect what GLP-1s are quietly destroying.

Tongkat Ali blocks the cortisol spike that crashes your T during rapid weight loss.

Boron lowers SHBG so the testosterone you still have isn't locked up and useless. 8 clinically-dosed ingredients attacking the problem from every angle.

This isn't theory. 91% of men in a 1,000-person survey reported higher energy within 90 days. 87% reported increased strength. Results backed by bloodwork, not promises.

Right now it's 50% off with a full 90-day money-back guarantee.

Read the 10 reasons men on GLP-1s are adding this to their daily stack."
